CASEID,YEAR,SAVING,MMDA
310,1989,180.76,0
311,1989,0,0
312,1989,0,0
313,1989,0,0
314,1989,0,0
315,1989,0,0
316,1989,0,0
317,1989,0,0
318,1989,0,0
319,1989,0,0
320,1989,0,0
321,1989,3615.14,0
322,1989,3615.14,0
323,1989,3615.14,0
324,1989,3615.14,0
325,1989,3615.14,0
326,1989,0,0
327,1989,0,0
328,1989,0,0
329,1989,0,0
330,1989,0,0
331,1989,0,0
332,1989,0,0
333,1989,0,0
334,1989,0,0
335,1989,0,0
336,1989,0,0
337,1989,0,0
338,1989,0,0
339,1989,0,0
340,1989,0,0
341,1989,0,0
342,1989,0,0
343,1989,0,0
344,1989,0,0
345,1989,0,0
346,1989,542.27,3615.14
347,1989,542.27,3615.14
348,1989,542.27,3615.14
349,1989,542.27,3615.14
350,1989,542.27,3615.14
351,1989,0,46996.85
352,1989,0,46996.85
353,1989,0,46996.85
354,1989,0,46996.85
355,1989,0,46996.85
356,1989,0,0
357,1989,0,0
358,1989,0,0
359,1989,0,0
360,1989,0,0
361,1989,0,0
362,1989,0,0
363,1989,0,0
364,1989,0,0
365,1989,0,0
366,1989,0,0
367,1989,0,0
368,1989,0,0
369,1989,0,0
370,1989,0,0
371,1989,0,0
372,1989,0,0
373,1989,0,0
374,1989,0,0
375,1989,0,0
376,1989,0,0
377,1989,0,0
378,1989,0,0
379,1989,0,0
380,1989,0,0
381,1989,596498.42,0
382,1989,21690.85,0
383,1989,723028.39,0
384,1989,101223.97,0
385,1989,231369.09,0
386,1989,18075.71,0
387,1989,18075.71,0
388,1989,18075.71,0
389,1989,18075.71,0
390,1989,18075.71,0
391,1989,0,0
392,1989,0,0
393,1989,0,0
394,1989,0,0
395,1989,0,0
396,1989,0,0
397,1989,0,0
398,1989,0,0
399,1989,0,0
400,1989,0,0
401,1989,0,0
402,1989,0,0
403,1989,0,0
404,1989,0,0
405,1989,0,0
406,1989,0,0
407,1989,0,0
408,1989,0,0
409,1989,0,0
410,1989,0,0
411,1989,0,0
412,1989,0,0
413,1989,0,0
414,1989,0,0
415,1989,0,0
416,1989,1807.57,0
417,1989,1807.57,0
418,1989,1807.57,0
419,1989,1807.57,0
420,1989,1807.57,0
421,1989,0,0
422,1989,0,0
423,1989,0,0
424,1989,0,0
425,1989,0,0
426,1989,0,0
427,1989,0,0
428,1989,0,0
429,1989,0,0
430,1989,0,0
431,1989,0,0
432,1989,0,0
433,1989,0,0
434,1989,0,0
435,1989,0,0
436,1989,0,0
437,1989,0,0
438,1989,0,0
439,1989,0,0
440,1989,0,0
441,1989,542.27,0
442,1989,542.27,0
443,1989,542.27,0
444,1989,542.27,0
445,1989,542.27,0
446,1989,6509.06,0
447,1989,6509.06,0
448,1989,6509.06,0
449,1989,6509.06,0
450,1989,6509.06,0
451,1989,5241.96,0
452,1989,5241.96,0
453,1989,5241.96,0
454,1989,5241.96,0
455,1989,5241.96,0
456,1989,54227.13,0
457,1989,54227.13,0
458,1989,54227.13,0
459,1989,54227.13,0
460,1989,54227.13,0
461,1989,0,0
462,1989,0,0
463,1989,0,0
464,1989,0,0
465,1989,0,0
466,1989,1807.57,0
467,1989,1807.57,0
468,1989,1807.57,0
469,1989,1807.57,0
470,1989,1807.57,0
471,1989,0,0
472,1989,0,0
473,1989,0,0
474,1989,0,0
475,1989,0,0
476,1989,0,958.01
477,1989,0,903.79
478,1989,0,958.01
479,1989,0,958.01
480,1989,0,958.01
481,1989,289.21,0
482,1989,289.21,0
483,1989,289.21,0
484,1989,289.21,0
485,1989,289.21,0
486,1989,596.5,0
487,1989,596.5,0
488,1989,596.5,0
489,1989,596.5,0
490,1989,596.5,0
491,1989,0,0
492,1989,0,0
493,1989,0,0
494,1989,0,0
495,1989,0,0
496,1989,37958.99,0
497,1989,37958.99,0
498,1989,37958.99,0
499,1989,37958.99,0
500,1989,37958.99,0
501,1989,1.81,0
502,1989,1.81,0
503,1989,1.81,0
504,1989,1.81,0
505,1989,1.81,0
506,1989,0,0
507,1989,0,0
508,1989,0,0
509,1989,0,0
510,1989,0,0
511,1989,3615.14,0
512,1989,3615.14,0
513,1989,3615.14,0
514,1989,3615.14,0
515,1989,3615.14,0
516,1989,6507.26,0
517,1989,6507.26,0
518,1989,6507.26,0
519,1989,6507.26,0
520,1989,6507.26,0
521,1989,0,0
522,1989,0,0
523,1989,0,0
524,1989,0,0
525,1989,0,0
526,1989,1373.75,0
527,1989,1373.75,0
528,1989,1373.75,0
529,1989,1373.75,0
530,1989,1373.75,0
531,1989,6326.5,0
532,1989,6326.5,0
533,1989,6326.5,0
534,1989,6326.5,0
535,1989,6326.5,0
536,1989,23498.42,0
537,1989,23498.42,0
538,1989,23498.42,0
539,1989,23498.42,0
540,1989,23498.42,0
541,1989,0,0
542,1989,0,0
543,1989,0,0
544,1989,0,0
545,1989,0,0
546,1989,0,0
547,1989,0,0
548,1989,0,0
549,1989,0,0
550,1989,0,0
551,1989,54.23,0
552,1989,54.23,0
553,1989,54.23,0
554,1989,54.23,0
555,1989,54.23,0
556,1989,16268.14,20244.79
557,1989,9037.85,21690.85
558,1989,16268.14,43381.7
559,1989,12653,22142.74
560,1989,18075.71,21690.85
561,1989,0,1319.53
562,1989,0,1446.06
563,1989,0,1319.53
564,1989,0,1319.53
565,1989,0,1319.53
566,1989,180.76,0
